Cases,Type,$E _ { z b } / \mathrm { G p a }$,$E _ { x b } / \mathrm { G p a }$,$G _ { x y b } / \mathrm { G p a }$,$G _ { x z b } / \mathrm { G p a }$,$\nu _ { x z b }$,$\nu _ { x y b }$,$\alpha _ { z b } / 1 \mathrm { e } { - } 6 / \mathrm { K }$,$\alpha _ { x b } / 1 \mathrm { e } { - } 6 / \mathrm { K }$
Case 1,Ref.[23],6.4029,2.8552,1.0824,1.1533,0.23337,0.31896,8.0815,23.804
,UC1,6.4026,2.8552,1.0824,1.1533,0.23337,0.31893,8.0821,23.805
,UC2,6.4026,2.8553,1.0811,1.1532,0.23338,0.31892,8.0821,23.804
,UC3,6.4026,2.8553,1.0799,1.1532,0.23338,0.31892,8.0821,23.803
,UC4 Max. dev.,6.4024,2.8549,1.0787,1.1527,0.23337,0.31896,8.0821,23.804
Case 2,,0.0078 %,0.0105%,0.3418 %,0.0520 %,0.0043%,0.0125 %,0.0074 %,0.0042%
,Ref.[44],161.00,5.00,1.70,2.27,0.30,,,
,UC1,161.11,5.03,1.64,2.30,0.30,0.009,5.62,40.4
,UC2,161.11,5.03,1.64,2.30,0.30,0.009,5.62,40.4
,UC3,161.11,5.03,1.64,2.30,0.30,0.009,5.62,40.4
,UC4,161.15,5.01,1.64,2.30,0.30,0.009,5.62,40.4
,Max. dev.,0.0932 %,0.6%,3.529 %,1.322%,0,,,
