Methods,Centralized ALC,Dominant ALC,Distributed ALC,Distributed parallel ALC,Distributed-centralized ALC
Number of coupling variables,8,6,4,0,2
Number of decoupled variables,4,2,0,4,2
Iteration count,42,36,25,34,30
X1,2.8534,2.8371,2.8193,2.5384,2.8360
x2,3.0751,3.0898,3.1079,3.3421,3.0902
x^3$,2.9542,2.4186,2.6425,2.4439,2.4152
$x4$,0.7566,0.7130,0.6118,0.9701,0.8015
x5$,0.9698,1.0342,0.9337,0.9256,0.8994
x6,2.7577,2.0276,3.2054,2.8360,2.7931
X7,0.9660,0.9669,0.9942,1.0592,0.9343
x,1.1140,0.9639,0.9971,1.0293,1.0024
xq,0.7430,0.9326,0.7963,0.7524,0.7529
X10,0.6104,0.6244,0.6574,0.6903,0.6461
X11,1.3678,1.3674,1.1761,1.3808,1.2976
X12 X13,0.8241 1.5238,0.8409,0.7619,0.7558,0.8410
X14,1.3269,1.7423 1.5257,1.7181 1.4836,1.6478,1.7642
Objective value,17.5982,17.5961,17.6073,1.5040 17.6129,1.5572
Relative error *10–4,5.4012,4.2072,10.5750,13.7588,17.5925
Computational time(s),19.3674,17.0554,8.4058,9.0903,2.1605
,,,,,11.7560
