Parameter,Correlation coefficient,Regression coefficient,Sobol index,Neural network,Sensitivity ranking
X1,0.1774,0.1770,0.0754,0.3399,0.1924
X2,0.2836,0.2846,0.1569,0.3872,0.2781
X3,0.4284,0.4306,0.2607,0.5487,0.4171
X4,0.0664,0.0667,0.0109,0.1836,0.0819
X5,0.0082,0.0076,0.0302,0.3109,0.0892
X6,0.0182,0.0187,0.0221,0.2669,0.0815
X7,0.1763,0.1792,0.0580,0.1695,0.1457
X8,0.1689,0.1663,0.0473,0.1721,0.1386
X9,0.4266,0.4291,0.2291,0.4427,0.3819
X10,0.0432,0.0466,0.0109,0.0580,0.0397
X11,0.0065,0.0038,0.0059,0.0477,0.0160
X12,0.0141,0.0139,0.0072,0.0396,0.0187
X13,0.0035,0.0044,0.0179,0.0201,0.0115
X14,0.0134,0.0105,0.0100,0.0328,0.0167
X15,0.0132,0.0125,0.0118,0.0410,0.0196
X16,0.0065,0.0042,0.0112,0.0329,0.0137
X17,0.0053,0.0087,0.0075,0.0405,0.0155
X18,0.0094,0.0071,0.0050,0.0293,0.0127
X19,0.0030,0.0032,0.0073,0.0353,0.0122
X20,0.0871,0.0872,0.0182,0.0989,0.0729
X21 X22,0.0038,0.0081,0.0084,0.0342,0.0137
X23,0.0109,0.0103,0.0064,0.0467,0.0186
X24,0.0064 0.0719,0.0058,0.0108,0.0337,0.0142
X25,0.1417,0.0747 0.1385,0.0140 0.0463,0.0902,0.0627
X26,0.0811,0.0803,0.0188,0.1608 0.0995,0.1218
X27,0.0791,0.0817,0.0219,0.0928,0.0699 0.0689
