Contacting pair,$T _ { E 1 } \left( \mathrm { K } \right)$,$T _ { E 2 } ( \mathrm { K } )$,Pressure (MPa),Heat fl ux $( 1 0 ^ { 3 } \mathrm { W / }$ $\mathbf { m } ^ { 2 } )$,Voltage (mV),TCR(Num.) (K·m2/ W),TCR(Exp.) (K·m2/ W),Difference (%),Uncertainties (%)
S-E,339.4,335.1,0.10,9.128,/,$5 . 3 5 \times 1 0 ^ { - 4 }$,$4 . 7 1 \times 1 0 ^ { - 4 }$,-3.97%,4.21%
,401.8,396.0,0.10,10.38,,$5 . 2 7 \times 1 0 ^ { - 4 }$ $4 . 4 0 \times 1 0 ^ { - 4 }$,$5 . 5 9 \times 1 0 ^ { - 4 }$ $4 . 4 9 \times 1 0 ^ { - 4 }$,6.07% 2.05%,4.42% 5.12%
,379.2,374.9,0.15,9.576,,,,,
,432.4,426.8,0.15,11.33,,$4 . 5 8 \times 1 0 ^ { - 4 }$,$4 . 9 4 \times 1 0 ^ { - 4 }$,7.86%,5.17%
E-N1,383.1,327.8,0.10,8.684,3.7,$1 . 6 2 \times { { 1 0 } ^ { - 3 } }$,$1 . 6 5 \times 1 0 ^ { - 3 }$,1.85%,10.8%
E-N_u,,,,,,$1 . 5 3 \times 1 0 ^ { - 3 }$,$1 . 5 6 \times 1 0 ^ { - 3 }$,1.96%,9.94%
E-N1,352.2,314.0,0.20,7.172,2.2,$1 . 5 0 \times 1 0 ^ { - 3 }$,$1 . 4 1 \times 1 0 ^ { - 3 }$ $1 . 3 1 \times 1 0 ^ { - 3 }$,-6.00% -5.76%,12.1%
E-N_u,,,,,,$1 . 3 9 \times 1 0 ^ { - 3 }$ $1 . 2 2 \times 1 0 ^ { - 3 }$,$1 . 3 0 \times 1 0 ^ { - 3 }$,6.56%,11.4% 10.8%
E-P1,373.3,341.2,0.10,8.161,1.2,$9 . 3 0 \times 1 0 ^ { - 4 }$,$9 . 8 7 \times 1 0 ^ { - 4 }$,6.13%,10.1%
E-P_u,,,,,,$1 . 1 2 \times { { 1 0 } ^ { - 3 } }$,$1 . 1 7 \times 1 0 ^ { - 3 }$,,
E-P1,350.4,324.3,0.20,8.042,0.80,,,4.46%,12.2%
E-P_u,,,,,,$8 . 5 7 \times 1 0 ^ { - 4 }$,$8 . 9 7 \times 1 0 ^ { - 4 }$,4.67%,11.9%
