Variable,B,a,95 % CI of B,95 % CI of α,$R ^ { 2 }$
$E _ { 1 }$,7.24e12,0.932,"[2.50e12, 2.10e13]","[0.853, 1.011]",0.999
$E _ { 2 }$,7.17e12,0.932,"[1.98e12, 2.60e13]","[0.836, 1.028]",0.999
$E _ { 3 }$,8.04e12,0.939,"[2.65e12, 2.44e13]","[0.857, 1.022]",0.999
$G _ { 1 3 }$,2.49e12,0.975,"[1.13e12, 5.48e12]","[0.916, 1.033]",1.000
$G _ { 2 3 }$,2.43e12,0.972,"[9.26e11, 6.35e12]","[0.901, 1.044]",0.999
$G _ { 1 2 }$,2.19e12,0.965,"[1.05e12, 4.57e12]","[0.910, 1.020]",1.000
$N u _ { 2 1 }$,6.40,0.925,"[0.845, 48.4]","[0.774, 1.075]",0.997
$N u _ { 3 1 }$,5.82,0.913,"[0.383, 88.6]","[0.711, 1.116]",0.995
$N u _ { 2 3 }$,4.72,0.897,"[0.354, 62.8]","[0.705, 1.090]",0.995
$C _ { 1 1 }$,8.84e12,0.935,"[3.22e12, 2.42e13]","[0.860, 1.010]",0.999
$C _ { 2 2 }$,8.77e12,0.938,"[2.67e12, 2.87e13]","[0.849, 1.026]",0.999
$C _ { 3 3 }$,9.86e12,0.944,"[3.48e12, 2.79e13]","[0.867, 1.022]",0.999
$C _ { 1 2 }$,6.11e11,0.967,"[2.81e11, 1.33e12]","[0.910, 1.025]",1.000
$C _ { 1 3 }$,6.13e11,0.970,"[2.59e11, 1.45e12]","[0.906, 1.034]",1.000
$C _ { 2 3 }$,6.26e11,0.972,"[2.63e11, 1.49e12]","[0.907, 1.036]",1.000
$C _ { 4 4 }$,2.43e12,0.972,"[9.26e11, 6.35e12]","[0.901, 1.044]",0.999
$C _ { 5 5 }$,2.49e12,0.975,"[1.13e12, 5.48e12]","[0.916, 1.033]",1.000
$C _ { 6 6 }$,2.19e12,0.965,"[1.05e12, 4.57e12]","[0.910, 1.020]",1.000
$\Phi$,3.68e2,0.931,"[1.30e2, 1.04e3]","[0.853, 1.008]",0.999
