Variable,$\mathrm { R V E } _ { \mathrm { b 3 } }$,$\mathrm { R V E _ { b 2 } }$,$\mathrm { R V E _ { b 1 } }$
$E _ { 1 } ( \mathbf { M P a } )$,$1 . 1 3 \mathrm { e } 5 \pm 1 0 9 ( 0 . 1 0 \% )$,$1 . 1 3 \mathrm { e } 5 \pm 7 5 . 5 ( 0 . 0 7 \% )$,$1 . 1 3 \mathrm { e } 5 \pm 3 9 . 7 ( 0 . 0 4 \% )$
$E _ { 2 } ( \mathrm { M P a } )$,$1 . 1 3 \mathrm { e } 5 \pm 9 7 . 0 ( 0 . 0 9 \% )$,$1 . 1 3 \mathrm { e } 5 \pm 6 9 . 8 ( 0 . 0 6 \% )$,$1 . 1 3 \mathrm { e } 5 \pm 3 5 . 4 ( 0 . 0 3 \% )$
$E _ { 3 } ( \mathrm { M P a } )$,$1 . 7 6 { \mathrm { e } } 5 \pm 2 4 . 3 ( 0 . 0 1 \ \% )$,$1 . 7 6 { \mathrm { e } } 5 \pm 1 7 . 3 ( 0 . 0 1 \ \% )$,$1 . 7 6 { \mathrm { e } } 5 \pm 8 . 8 5 ( 0 . 0 1 \ \% )$
$N u _ { 2 1 }$,$0 . 1 8 7 \pm 6 . 6 8 \mathrm { e } { - 5 } \ : ( 0 . 0 4 \ : \% )$,$0 . 1 8 7 \pm 4 . 8 8 \mathrm { e } { - 5 } \ : ( 0 . 0 3 \ : \% )$,$0 . 1 8 7 \pm 2 . 3 2 \mathrm { e } { - 5 } \ : ( 0 . 0 1 \ : \% )$
$N u _ { 3 1 }$,$0 . 1 1 7 \pm 1 . 0 3 \mathrm { e } { - 4 } \ : ( 0 . 0 9 \ : \% )$,$0 . 1 1 7 \pm 7 . 0 9 \mathrm { e } { - 5 } \ : ( 0 . 0 6 \ : \% )$,$0 . 1 1 7 \pm 3 . 7 5 \mathrm { e } { - 5 } \ : ( 0 . 0 3 \ : \% )$
$N u _ { 2 3 }$,$0 . 1 8 2 \pm 1 . 6 4 \mathrm { e } { - 5 } \ : ( 0 . 0 0 9 \ : \% )$,$0 . 1 8 2 \pm 1 . 1 5 \mathrm { e } { - 5 } \ : ( 0 . 0 0 6 \ : \% )$,$0 . 1 8 2 \pm 5 . 6 9 \mathrm { e } . 6 \left( 0 . 0 0 3 \% \right)$
$G _ { 1 3 } ( \mathrm { M P a } )$,$5 . 1 5 \mathrm { e } 4 \pm 4 7 . 9 ( 0 . 0 9 \% )$,$5 . 1 5 \mathrm { e } 4 \pm 2 9 . 8 ( 0 . 0 6 \% )$,$5 . 1 5 \mathrm { e } 4 \pm 1 5 . 7 ( 0 . 0 3 \% )$
$G _ { 2 3 } ( \mathbf { M P a } )$,$5 . 1 5 \mathrm { e } 4 \pm 4 2 . 2 ( 0 . 0 8 \% )$,$5 . 1 5 \mathrm { e } 4 \pm 3 0 . 3 ( 0 . 0 6 \% )$,$5 . 1 5 \mathrm { e } 4 \pm 1 5 . 5 ( 0 . 0 3 \% )$
$G _ { 1 2 } ( \mathbf { M P a } )$,$4 . 7 6 \mathrm { e } 4 \pm 3 9 . 1 ( 0 . 0 8 \% )$,$4 . 7 6 \mathrm { e } 4 \pm 2 7 . 9 ( 0 . 0 6 \% )$,$4 . 7 6 \mathrm { e } 4 \pm 1 4 . 3 ( 0 . 0 3 \% )$
$\Phi$,$0 . 1 8 2 \pm 2 . 4 9 \mathrm { e } { - 4 \left( 0 . 1 4 \mathrm { \Omega } ^ { \circ } 0 \right) }$,$0 . 1 8 2 \pm 1 . 8 5 \mathrm { e } { - 4 \left( 0 . 1 0 \% \right) }$,$0 . 1 8 2 \pm 9 . 8 1 { \mathrm { e } } { - 5 } \ : ( 0 . 0 5 \ : \% )$
