Methods,SCP with hp-adaptive RPD,SCP with UD,SCP with hp RPD,GPOPS-II
,81(403),420(421),800(801),105(421）,150(601),104 (463)
Iteration,19,28,28,24,24,76(6)
CPU time (s),2.377,3.832,8.071,3.944,6.277,41.056
Average CPU time (s),0.125,0.137,0.288,0.164,0.262,0.540
Terminal longitude (deg) Emax r (m),229.888,229.946,229.985,229.994,230.004,230.004
θ (deg),absolute relative,23.067,78.175,21.951,59.811,25.509,21.001
,0.38%0,1.30%0,0.37%0,0.99%0,0.43%,0.35%0
absolute,0.0154,0.0397,0.0108,0.0523,0.0160,0.0094
relative absolute,0.12%0,0.31%,0.08%0,0.40%0,0.12%0,0.07%0
φ (deg),0.0012,0.0166,0.0016,0.0190,0.0014,0.0035
relative absolute,0.02%0,0.23%0,0.02%,0.26%0,0.02%0,0.05%
γ (deg) ψ (deg),0.0177,0.1196 25.7%0,0.0422,0.1098 23.6%0,0.0530,0.0084
relative,3.81%0,0.0984,9.07%0,,11.4%0,1.81%o
absolute,0.0109,,0.0362,0.1479 2.78%0,0.0297,0.0150
relative,0.20%0,1.8%0,0.68%,,0.56%,0.28%
