$\beta$,Tf (K),$T _ { \mathrm { a v g } } ( \mathrm { K } )$,$T _ { \mathrm { m a x } } \mathrm { ( K ) }$,$S _ { T } \left( \mathrm { K } \right)$,V (%)
13,370,459.69,1397.65,148.61,10.27
13,375,434.48,928.04,63.41,5.91
13,380,428.02,488.69,36.31,0.00
13,385,428.02,488.69,36.31,0.00
14,370,541.92,2190.14,358.63,15.41
14,375,487.41,1715.87,226.18,12.73
14,380,448.79,1239.80,115.04,9.11
14,385,430.67,762.48,46.52,4.67
15,370,648.52,2872.69,571.86,21.62
15,375,569.63,2395.53,420.73,16.87
15,380,509.03,1917.26,280.46,13.99
15,385,462.76,1437.39,157.74,10.52
16,370,783.53,3466.93,774.83,28.09
16,375,671.82,2988.05,610.17,23.27
16,380,586.27,2508.17,455.54,17.75
16,385,521.81,2027.01,311.38,14.55
